date,Account,trades_count,account_day_pnl,avg_trade_size_usd,median_trade_size_usd,day_buy_trades,day_sell_trades,win_day,buy_sell_ratio,activity_bucket,size_bucket,classification,value
2023-05-01,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,3,0.0,159.0,156.39,3,0,0,,Q1,Q1,Greed,63
2023-12-05,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,9,0.0,5556.203333333334,1935.95,7,2,0,3.5,Q1,Q3,Extreme Greed,75
2023-12-14,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,11,-205.43473700000007,10291.213636363636,8677.28,5,6,0,0.8333333333333334,Q2,Q4,Greed,72
2023-12-15,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2,-24.632033999999997,5304.975,5304.975,2,0,0,,Q1,Q3,Greed,70
2023-12-16,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,3,0.0,5116.256666666667,4680.14,3,0,0,,Q1,Q3,Greed,67
2023-12-17,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,14,304.982785,8305.572857142857,5368.02,3,11,1,0.2727272727272727,Q2,Q4,Greed,73
2023-12-18,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2,0.0,15582.089999999998,15582.089999999998,2,0,0,,Q1,Q4,Greed,65
2023-12-19,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,15,1000.5386120000001,6106.827333333334,4728.67,5,10,1,0.5,Q2,Q3,Greed,73
2023-12-20,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,18,162.732282,7868.710555555556,7686.9349999999995,10,8,1,1.25,Q2,Q4,Greed,74
2023-12-21,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,49,537.211402,2555.795306122449,2182.45,22,27,1,0.8148148148148148,Q3,Q3,Greed,70
2023-12-22,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,10,141.832675,8887.428,6114.275,8,2,1,4.0,Q2,Q4,Greed,74
2023-12-23,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,13,146.936704,6033.711538461538,6083.83,5,8,1,0.625,Q2,Q3,Greed,70
2023-12-24,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,39,1008.619956,10332.177948717948,4574.53,21,18,1,1.1666666666666667,Q3,Q4,Greed,71
2023-12-25,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,3,-245.081348,19982.836666666666,29078.9,2,1,0,2.0,Q1,Q4,Greed,73
2023-12-27,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,28,-704.8892269999999,6121.823571428571,5424.15,15,13,0,1.1538461538461537,Q2,Q3,Greed,73
2023-12-28,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,23,-970.730876,4352.923913043478,3907.89,10,13,0,0.7692307692307693,Q2,Q3,Greed,73
2023-12-29,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,50,508.92214299999995,11391.1944,8627.21,31,19,1,1.631578947368421,Q3,Q4,Greed,65
2023-12-30,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,52,354.998648,13510.58096153846,4615.014999999999,20,32,1,0.625,Q3,Q4,Greed,68
2024-01-01,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,18,-129.53146,14679.973888888888,9216.095000000001,10,8,0,1.25,Q2,Q4,Greed,65
2024-01-02,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,17,783.979116,7138.1611764705885,2439.38,9,8,1,1.125,Q2,Q4,Greed,71
2024-01-03,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,67,866.015507,5888.050149253731,2102.78,32,35,1,0.9142857142857143,Q3,Q3,Greed,70
