date,total_trades,unique_traders,total_pnl,avg_pnl_per_trade,median_trade_size_usd,mean_trade_size_usd,total_volume_usd,total_fees,buy_trades,sell_trades,buy_sell_ratio,net_flow_bias,avg_loss_account_day,p10_loss_account_day,classification,value
2023-05-01,3,1,0.0,0.0,156.39,159.0,477.0,0.0,3,0,,1.0,,,Greed,63
2023-12-05,9,1,0.0,0.0,1935.95,5556.203333333334,50005.83,12.501455,7,2,3.5,0.5555555555555556,,,Extreme Greed,75
2023-12-14,11,1,-205.43473700000007,-18.675885181818188,8677.28,10291.213636363636,113203.35,28.300831000000002,5,6,0.8333333333333334,-0.09090909090909091,-205.43473700000007,-205.43473700000007,Greed,72
2023-12-15,2,1,-24.632033999999997,-12.316016999999999,5304.975,5304.975,10609.95,2.652489,2,0,,1.0,-24.632033999999997,-24.632033999999997,Greed,70
2023-12-16,3,1,0.0,0.0,4680.14,5116.256666666667,15348.77,3.8371890000000004,3,0,,1.0,,,Greed,67
2023-12-17,14,1,304.982785,21.78448464285714,5368.02,8305.572857142857,116278.02,29.069499,3,11,0.2727272727272727,-0.5714285714285714,,,Greed,73
2023-12-18,2,1,0.0,0.0,15582.089999999998,15582.089999999998,31164.179999999997,7.791045,2,0,,1.0,,,Greed,65
2023-12-19,15,1,1000.5386120000001,66.70257413333334,4728.67,6106.827333333334,91602.41,22.900596,5,10,0.5,-0.3333333333333333,,,Greed,73
2023-12-20,18,1,162.732282,9.040682333333333,7686.9349999999995,7868.710555555556,141636.79,35.409187,10,8,1.25,0.1111111111111111,,,Greed,74
2023-12-21,49,1,537.211402,10.963498000000001,2182.45,2555.795306122449,125233.97,31.308469,22,27,0.8148148148148148,-0.10204081632653061,,,Greed,70
2023-12-22,10,1,141.832675,14.1832675,6114.275,8887.428,88874.28,22.218566000000003,8,2,4.0,0.6,,,Greed,74
2023-12-23,13,1,146.936704,11.302823384615383,6083.83,6033.711538461538,78438.25,19.609555,5,8,0.625,-0.23076923076923078,,,Greed,70
2023-12-24,39,1,1008.619956,25.862050153846155,4574.53,10332.177948717948,402954.94,100.738715,21,18,1.1666666666666667,0.07692307692307693,,,Greed,71
2023-12-25,3,1,-245.081348,-81.69378266666666,29078.9,19982.836666666666,59948.51,14.987124999999999,2,1,2.0,0.3333333333333333,-245.081348,-245.081348,Greed,73
2023-12-27,28,1,-704.8892269999999,-25.174615249999995,5424.15,6121.823571428571,171411.06,42.852747,15,13,1.1538461538461537,0.07142857142857142,-704.8892269999999,-704.8892269999999,Greed,73
2023-12-28,23,1,-970.730876,-42.20569026086957,3907.89,4352.923913043478,100117.25,25.0293,10,13,0.7692307692307693,-0.13043478260869565,-970.730876,-970.730876,Greed,73
2023-12-29,50,1,508.92214299999995,10.178442859999999,8627.21,11391.1944,569559.72,142.389901,31,19,1.631578947368421,0.24,,,Greed,65
2023-12-30,52,1,354.998648,6.826897076923077,4615.014999999999,13510.58096153846,702550.21,175.637526,20,32,0.625,-0.23076923076923078,,,Greed,68
2024-01-01,18,1,-129.53146,-7.196192222222223,9216.095000000001,14679.973888888888,264239.52999999997,66.059867,10,8,1.25,0.1111111111111111,-129.53146,-129.53146,Greed,65
2024-01-02,17,1,783.979116,46.11641858823529,2439.38,7138.1611764705885,121348.74,30.337176,9,8,1.125,0.058823529411764705,,,Greed,71
2024-01-03,67,1,866.015507,12.925604582089552,2102.78,5888.050149253731,394499.36,98.624811,32,35,0.9142857142857143,-0.04477611940298507,,,Greed,70
2024-01-04,5,1,-67.60364,-13.520728,3335.99,19958.508,99792.54000000001,24.948132,2,3,0.6666666666666666,-0.2,-67.60364,-67.60364,Greed,68
2024-01-05,66,1,164.141565,2.486993409090909,4257.8,25817.31303030303,1703942.66,425.985639,31,35,0.8857142857142857,-0.06060606060606061,,,Greed,72
2024-01-06,22,1,135.58166400000002,6.16280290909091,7353.530000000001,13569.154545454547,298521.4,74.630342,11,11,1.0,0.0,,,Greed,70
2024-01-07,97,1,-835.681235,-8.615270463917525,3003.94,10812.887216494846,1048850.06,262.212464,52,45,1.1555555555555554,0.07216494845360824,-835.681235,-835.681235,Greed,71
2024-01-08,128,1,-269.874439,-2.1083940546875,1850.245,11894.159609375,1522452.43,380.613064,40,88,0.45454545454545453,-0.375,-269.874439,-269.874439,Greed,71
2024-01-09,70,1,-826.349863,-11.804998042857143,5087.139999999999,12429.313857142857,870051.97,204.012928,28,42,0.6666666666666666,-0.2,-826.349863,-826.349863,Extreme Greed,76
2024-01-10,193,1,-1517.091342,-7.860576901554404,1901.0,10660.515440414507,2057479.48,434.044865,92,101,0.9108910891089109,-0.046632124352331605,-1517.091342,-1517.091342,Greed,73
2024-01-11,21,2,-164.08950099999998,-7.813785761904761,5005.45,14538.766666666666,305314.1,75.867171,13,8,1.625,0.23809523809523808,-164.08950099999998,-164.08950099999998,Extreme Greed,76
2024-01-12,7,1,-1925.519024,-275.0741462857143,43745.48,28583.181428571428,200082.27,49.480726999999995,5,2,2.5,0.42857142857142855,-1925.519024,-1925.519024,Greed,71
2024-01-15,14,2,152.85358,10.918112857142857,19.93,3616.8642857142854,50636.1,12.652712,5,9,0.5555555555555556,-0.2857142857142857,,,Neutral,52
2024-01-16,9,2,-2299.171458,-255.4634953333333,6156.75,12936.37,116427.33,17.319309,4,5,0.8,-0.1111111111111111,-3238.8,-3238.8,Greed,64
2024-01-17,53,1,813.2741110000001,15.344794547169812,2721.9,15110.019433962265,800831.03,159.707606,31,22,1.4090909090909092,0.16981132075471697,,,Greed,60
2024-01-18,46,1,68.93319,1.4985476086956522,1999.3,9231.120217391304,424631.52999999997,92.657901,18,28,0.6428571428571429,-0.21739130434782608,,,Greed,63
2024-01-19,48,2,-385.419235,-8.029567395833334,2387.175,8925.603541666665,428428.97,93.051868,31,17,1.8235294117647058,0.2916666666666667,-192.7096175,-346.7141115,Neutral,51
2024-01-20,106,1,-146.57487000000003,-1.3827817924528305,2167.14,10095.193490566038,1070090.51,267.522583,60,46,1.3043478260869565,0.1320754716981132,-146.57487000000003,-146.57487000000003,Neutral,52
2024-01-21,11,1,266.58114600000005,24.234649636363642,1874.99,9375.43090909091,103129.74,25.78243,3,8,0.375,-0.45454545454545453,,,Greed,56
2024-01-22,85,2,1375.640959,16.18401128235294,378.43,3975.0469411764707,337878.99,67.478268,51,34,1.5,0.2,,,Greed,55
2024-01-23,45,1,-369.2447299999998,-8.20543844444444,1998.5,9211.531777777778,414518.93000000005,85.72457,33,12,2.75,0.4666666666666667,-369.2447299999998,-369.2447299999998,Neutral,50
2024-01-24,68,1,-2808.353815,-41.29932080882353,3541.8199999999997,14192.42044117647,965084.59,227.771095,27,41,0.6585365853658537,-0.20588235294117646,-2808.353815,-2808.353815,Neutral,48
2024-01-25,6,1,-3093.6293849999997,-515.6048975,10380.835,11094.355000000001,66566.13,16.641532,0,6,0.0,-1.0,-3093.6293849999997,-3093.6293849999997,Neutral,52
2024-01-26,5,2,90.2,18.04,1609.05,2354.642,11773.21,0.444235,4,1,4.0,0.6,,,Neutral,49
